name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,TMC
,151,133,1510,,,210.70149857518376,1,nan,40.2335,residential,6,,"LINESTRING (-112.08493 33.46474,-112.08417 33.46474,-112.08286 33.46474,-112.08267 33.46474)",
,152,133,134,,,196.4058094112483,1,nan,40.2335,residential,6,,"LINESTRING (-112.08493 33.46481,-112.08705 33.4648)",
,153,134,133,,,196.4058094112483,1,nan,40.2335,residential,6,,"LINESTRING (-112.08705 33.46473,-112.08493 33.46474)",
,154,134,135,,,200.04761780429632,1,nan,40.2335,residential,6,,"LINESTRING (-112.08705 33.4648,-112.0892 33.46481)",
,155,135,134,,,200.04761780429632,1,nan,40.2335,residential,6,,"LINESTRING (-112.0892 33.46474,-112.08705 33.46473)",
,156,135,77,,,194.3608381646341,1,nan,40.2335,residential,6,,"LINESTRING (-112.0892 33.46481,-112.09114 33.4648,-112.09129 33.4648)",
,157,77,135,,,194.36031139088476,1,nan,40.2335,residential,6,,"LINESTRING (-112.09129 33.46473,-112.09114 33.46473,-112.0892 33.46474)",
,158,77,136,,,201.2744782054325,1,nan,40.2335,residential,6,,"LINESTRING (-112.09129 33.4648,-112.09136 33.4648,-112.09141 33.4648,-112.09346 33.46479)",
,159,136,77,,,201.27312211598326,1,nan,40.2335,residential,6,,"LINESTRING (-112.09346 33.46472,-112.09141 33.46473,-112.09136 33.46473,-112.09129 33.46473)",
,160,136,137,,,99.39985932747935,1,nan,40.2335,residential,6,,"LINESTRING (-112.09346 33.46479,-112.09453 33.46479)",
,161,137,136,,,99.39985932747935,1,nan,40.2335,residential,6,,"LINESTRING (-112.09453 33.46472,-112.09346 33.46472)",
